AAPL,IRX,SP
120.205414,0.015,3909.52002
120.823441,0.015,3974.540039
121.002861,0.008,3971.090088
119.517616,0.013,3958.550049
121.760445,0.013,3972.889893
122.607727,0.008,4019.870117
125.498489,0.015,4077.909912
125.807495,0.015,4073.939941
127.492104,0.01,4079.949951
129.94426,0.005,4097.169922
132.575836,0.003,4128.799805
130.821457,0.01,4127.990234
134.001266,0.015,4141.589844
131.608932,0.015,4124.660156
134.07106,0.01,4170.419922
133.732147,0.008,4185.470215
134.409958,0.015,4163.259766
132.685501,0.015,4134.939941
133.074234,0.013,4173.419922
131.519226,0.015,4134.97998
133.891632,0.015,4180.169922
134.290359,0.008,4187.620117
133.961395,0.01,4186.720215
133.153992,0.008,4183.180176
133.054306,0.008,4211.470215
131.040756,0.003,4181.169922
132.117294,0.005,4192.660156
127.442261,0.01,4164.660156
127.691475,0.008,4167.589844
129.326233,0.008,4201.620117
130.015213,0.008,4232.600098
126.660225,0.005,4188.430176
125.721642,0.01,4152.100098
122.586334,0.01,4063.040039
124.783043,0.008,4112.5
127.259331,0.005,4173.850098
126.081093,0.005,4163.290039
124.663223,0.01,4127.830078
124.503464,0.005,4115.680176
127.119537,0.003,4159.120117
125.242355,0.003,4155.859863
126.909851,0.003,4197.049805
126.710159,0.01,4188.129883
126.660225,0.005,4195.990234
125.092575,0.005,4200.879883
124.423584,0.008,4204.109863
124.09407,0.01,4202.040039
124.872902,0.015,4208.120117
123.355186,0.015,4192.850098
125.701668,0.015,4229.890137
125.711655,0.018,4226.52002
126.550392,0.02,4227.259766
126.939812,0.02,4219.549805
125.921341,0.02,4239.180176
127.159477,0.018,4247.439941
130.28479,0.015,4255.149902
129.44606,0.02,4246.589844
129.955292,0.028,4223.700195
131.592834,0.028,4221.859863
130.264832,0.028,4166.450195
132.102081,0.03,4224.790039
133.779556,0.038,4246.439941
133.499985,0.04,4241.839844
133.210419,0.043,4266.490234
132.910873,0.043,4280.700195
134.578369,0.04,4290.609863
136.126053,0.04,4291.799805
136.755112,0.04,4297.5
137.064651,0.04,4319.939941
139.750626,0.038,4352.339844
141.807541,0.04,4343.540039
144.353729,0.043,4358.129883
143.025711,0.043,4320.819824
144.892914,0.043,4369.549805
144.283829,0.043,4384.629883
145.422119,0.045,4369.209961
148.926865,0.045,4374.299805
148.257874,0.038,4360.029785
146.17099,0.038,4327.160156
142.236893,0.04,4258.490234
145.931351,0.045,4323.060059
145.18248,0.045,4358.689941
146.580383,0.043,4367.47998
148.337753,0.045,4411.790039
148.76712,0.04,4422.299805
146.55043,0.045,4401.459961
144.763107,0.045,4400.640137
145.422119,0.04,4419.149902
145.641785,0.04,4395.259766
145.302307,0.038,4387.160156
147.139542,0.045,4423.149902
146.730164,0.045,4402.660156
146.839996,0.043,4429.100098
146.139999,0.043,4436.52002
146.089996,0.045,4432.350098
145.600006,0.05,4436.75
145.860001,0.045,4442.410156
148.889999,0.043,4460.830078
149.100006,0.045,4468
151.119995,0.058,4479.709961
150.190002,0.063,4448.080078
146.360001,0.055,4400.27002
146.699997,0.043,4405.799805
148.190002,0.043,4441.669922
149.710007,0.04,4479.529785
149.619995,0.048,4486.22998
148.360001,0.045,4496.189941
147.539993,0.043,4470
148.600006,0.043,4509.370117
153.119995,0.038,4528.790039
151.830002,0.04,4522.680176
152.509995,0.04,4524.089844
153.649994,0.04,4536.950195
154.300003,0.04,4535.430176
156.690002,0.035,4520.029785
155.110001,0.04,4514.069824
154.070007,0.038,4493.279785
148.970001,0.038,4458.580078
149.550003,0.038,4468.72998
148.119995,0.035,4443.049805
149.029999,0.035,4480.700195
148.789993,0.03,4473.75
146.059998,0.028,4432.990234
142.940002,0.025,4357.72998
143.429993,0.02,4354.189941
145.850006,0.025,4395.640137
146.830002,0.025,4448.97998
146.919998,0.025,4455.47998
145.369995,0.025,4443.109863
141.910004,0.03,4352.629883
142.830002,0.03,4359.459961
141.5,0.028,4307.540039
142.649994,0.028,4357.040039
139.139999,0.028,4300.459961
141.110001,0.035,4345.720215
142,0.04,4363.549805
143.289993,0.04,4399.759766
142.899994,0.04,4391.339844
142.809998,0.04,4361.189941
141.509995,0.04,4350.649902
140.910004,0.045,4363.799805
143.759995,0.04,4438.259766
144.839996,0.038,4471.370117
146.550003,0.043,4486.459961
148.759995,0.05,4519.629883
149.259995,0.05,4536.189941
149.479996,0.05,4549.779785
148.690002,0.05,4544.899902
148.639999,0.05,4566.47998
149.320007,0.05,4574.790039
148.850006,0.05,4551.680176
152.570007,0.048,4596.419922
149.800003,0.048,4605.379883
148.960007,0.04,4613.669922
150.020004,0.045,4630.649902
150.639999,0.045,4626.060059
